"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0603","15.6mm","8.3mm","15.6mm","8.3mm","15.6mm","9.1mm","T","270","100n",
"C2","0603","28.1mm","5.3mm","28.1mm","5.3mm","28.1mm","4.5mm","T","90","100n",
"C3","0603","29.6mm","5.3mm","29.6mm","5.3mm","29.6mm","4.5mm","T","90","100n",
"C4","0603","31.1mm","5.3mm","31.1mm","5.3mm","31.1mm","4.5mm","T","90","100n",
"C5","0603","8.1mm","8.3mm","8.1mm","8.3mm","8.1mm","7.5mm","T","90","1µ",
"C6","0603","14.1mm","8.3mm","14.1mm","8.3mm","14.1mm","9.1mm","T","270","1µ",
"C7","0603","39.1mm","0.8mm","39.1mm","0.8mm","38.3mm","0.8mm","T","0","100n",
"D1","0603-LED","39.1mm","9.8mm","39.1mm","9.8mm","39.9mm","9.8mm","T","180","LED",
"IC1","LQFP-32","21.6mm","5.3mm","21.6mm","5.3mm","25.8mm","2.5mm","T","180","STM32F042K6T7",
"IC2","SOT-23","11.1mm","8.6mm","11.1mm","8.6mm","12.25mm","7.65mm","T","180","MCP1700",
"IC3","SOT-23-5","31.1mm","1.8mm","31.1mm","1.8mm","29.8mm","2.75mm","T","0","MIC2004-0_5YM5",
"J3","FTSH-105-01-L-DV-K","37.1mm","5.3mm","37.1mm","5.3mm","39.135mm","2.76mm","T","90","PROG",
"R1","0603","28.1mm","1.8mm","28.1mm","1.8mm","28.1mm","2.6mm","T","270","10k",
"R2","0603","35.1mm","0.8mm","35.1mm","0.8mm","35.9mm","0.8mm","T","180","10k",
"R3","0603","35.1mm","9.8mm","35.1mm","9.8mm","35.9mm","9.8mm","T","180","10k",
"Through Hole Items ",
"J2","USB-C_16Pin","6.1mm","5.3mm","6.1mm","5.3mm","5.185mm","9.62mm","T","270","USB_C_Receptacle_USB2.0",
"P1","TC2030-NL","11.1mm","2.3mm","11.1mm","2.3mm","12.37mm","2.94mm","T","180","SWD_TC",
